Write Threshold,Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Average Read Block Size,Read Block Size Variance,Read Block Size Std Dev,Read Block Size Max,Read Block Size Min,Damage Threshold,Normalized Cost (%)
6,pr_twi,DDR5_2800AN,9.013562415431574,8.923525627278575,26.356980484666522,0.04663,122.63942864496204,8933.822118010961,94.51889820565495,1384,12,11.60481553500391,0.0
6,600,DDR5_2800AN,9.01470858963225,7.503875968992248,22.906976744186046,0.000516,8624.151162790698,989909079.0818012,31462.82058369531,239335,7,10.251979166298593,0.7571189184849445
6,bc_twi,DDR5_2800AN,8.999128883777258,8.991055386297946,26.461543183010257,0.179214,27.478690280893233,329.2740863893598,18.14591101017967,504,6,11.648119293995034,1.9089403384659742
6,628,DDR5_2800AN,9.13095924480239,8.743589743589743,25.9427575348628,0.004446,1337.9568151147098,58100699.604072995,7622.381491638489,104001,6,11.301661083021475,29.528231745686927
6,pr_web,DDR5_2800AN,8.995711376819923,8.921183505234437,26.36171797898485,0.051677,110.11240130051091,10275.428378488286,101.36778767679743,1685,14,11.63256605943875,0.0
6,bfs_twi,DDR5_2800AN,9.000690027020113,8.940621854971132,26.289289686953758,0.018879,311.83820724729816,100382.28310473262,316.8316321088105,2544,7,11.564891878223898,0.11243011474873649
6,bc_road,DDR5_2800AN,9.001341970455558,9.001064561293049,26.499861234228337,0.241414,18.853311793214864,53.212781066324204,7.294709114579155,94,6,11.66412523623942,4.763830958538033
6,605,DDR5_2800AN,9.240661145123514,1.131578947368421,1.4342105263157894,3.8e-05,152825.66666666666,18996755391.555557,137828.71758655942,405946,27006,0.19649995224015324,0.0
6,603,DDR5_2800AN,10.899018358630391,14.061400737230121,28.355265929436545,0.01899,309.9308056872038,987773.5930004566,993.8679957622423,53311,11,7.868891337844837,0.0
6,bfs_web,DDR5_2800AN,9.009137501593397,8.855447774120908,26.226831803221895,0.011546,492.9287941787942,5744297.335366321,2396.726378910684,88622,10,11.569176755951569,0.013826523701571664
6,654,DDR5_2800AN,9.162520026630144,8.95857147928574,26.510153005076504,0.028169,180.31401789518534,3461522.861341632,1860.5168264064778,94447,9,11.493507119075412,0.15183436318679638
6,619,DDR5_2800AN,9.12592161703812,8.98174135933239,26.4512985872962,0.085439,64.22396235690708,1574.8138762584326,39.68392465795731,159,26,11.485672107032851,0.0
6,602,DDR5_3200AN,8.84904826965877,8.528833721230928,17.281613653995347,0.003867,1543.3944099378882,6987072.564937697,2643.307126487139,6239,32,5.934726311376718,0.0
6,cc_twi,DDR5_3200AN,9.007310925315359,8.95155842989311,17.716850803916284,0.11133,47.893020749124226,336.56980038733553,18.345838775791517,241,10,5.83878525790956,0.0
6,pr_road,DDR5_3200AN,8.998445326113053,8.987205828595918,17.81977865453216,0.158666,31.815005294206625,96.55713983887681,9.826349263021175,109,7,5.889399227867425,0.0
6,bfs_road,DDR5_3200AN,9.020241957958437,8.990220360404436,17.796584515655578,0.196224,24.577299412915853,98.00387069117382,9.899690434108221,121,6,5.85773476784494,0.0
6,620,DDR5_3200AN,8.973649304432223,8.897518382352942,17.637591911764705,0.01088,545.4103695532267,2635733.543676257,1623.4942388799097,63410,18,5.843825560529699,0.0
6,bc_web,DDR5_3200AN,8.956817913002084,8.928123383854889,17.692339908432984,0.315179,13.036817757809972,126.87793018059351,11.264010395085469,2308,6,5.870980035346437,0.0
6,607,DDR5_3200AN,12.218397391443107,32.69222191246167,34.051296347923056,0.003587,1663.0670016750419,10203670.431021662,3194.318461115244,43749,10,0.6673908493497779,0.0
6,623,DDR5_3200AN,9.05383346966073,7.9050042408821035,16.564037319762512,0.001179,5002.571428571428,1771734316.7551022,42091.97449342454,530245,10,5.738364710084435,0.0
6,pr_twi,DDR5_3200AN,9.013562415431574,8.923525627278575,17.666223461291015,0.04663,122.63942864496204,8933.822118010961,94.51889820565495,1384,12,5.819695319829103,0.0
6,600,DDR5_3200AN,9.01470858963225,7.503875968992248,14.80813953488372,0.000516,8624.151162790698,989909079.0818012,31462.82058369531,239335,7,4.861563849745772,0.0
6,bc_twi,DDR5_3200AN,8.999128883777258,8.991055386297946,17.790468378586496,0.179214,27.478690280893233,329.2740863893598,18.14591101017967,504,6,5.866843184000573,0.0
6,628,DDR5_3200AN,9.13095924480239,8.743589743589743,17.341430499325234,0.004446,1337.9568151147098,58100699.604072995,7622.381491638489,104001,6,5.649685115370306,0.0
6,pr_web,DDR5_3200AN,8.995711376819923,8.921183505234437,17.67120769394508,0.051677,110.11240130051091,10275.428378488286,101.36778767679743,1685,14,5.8361304551795445,0.0
6,bfs_twi,DDR5_3200AN,9.000690027020113,8.940621854971132,17.657026325546905,0.018879,311.83820724729816,100382.28310473262,316.8316321088105,2544,7,5.81049082530945,0.0
6,bc_road,DDR5_3200AN,9.001341970455558,9.001064561293049,17.817218554019238,0.241414,18.853311793214864,53.212781066324204,7.294709114579155,94,6,5.876559754087426,0.0
6,605,DDR5_3200AN,9.240661145123514,1.131578947368421,1.131578947368421,3.8e-05,152825.66666666666,18996755391.555557,137828.71758655942,405946,27006,0.0,0.0
6,603,DDR5_3200AN,10.899018358630391,14.061400737230121,19.35918904686677,0.01899,309.9308056872038,987773.5930004566,993.8679957622423,53311,11,2.9164764029092183,0.0
6,bfs_web,DDR5_3200AN,9.009137501593397,8.855447774120908,17.545037242335006,0.011546,492.9287941787942,5744297.335366321,2396.726378910684,88622,10,5.787184045094584,0.0
